日付,区分,備考
2024-12-29,病院休,年末年始休
2024-12-30,病院休,年末年始休
2024-12-31,病院休,年末年始休
2025-01-01,法定祝日,元日
2025-01-02,病院休,年末年始休
2025-01-03,病院休,年末年始休
2025-01-13,法定祝日,成人の日
2025-02-11,法定祝日,建国記念の日
2025-02-23,法定祝日,天皇誕生日
2025-02-24,法定祝日,振替休日
2025-03-20,法定祝日,春分の日
2025-04-29,法定祝日,昭和の日
2025-05-03,法定祝日,憲法記念日
2025-05-04,法定祝日,みどりの日
2025-05-05,法定祝日,こどもの日
2025-05-06,法定祝日,振替休日
2025-07-21,法定祝日,海の日
2025-08-11,法定祝日,山の日
2025-09-15,法定祝日,敬老の日
2025-09-23,法定祝日,秋分の日
2025-10-13,法定祝日,スポーツの日
2025-11-03,法定祝日,文化の日
2025-11-23,法定祝日,勤労感謝の日
2025-11-24,法定祝日,振替休日
2025-12-29,病院休,年末年始休
2025-12-30,病院休,年末年始休
2025-12-31,病院休,年末年始休
2026-01-01,法定祝日,元日
2026-01-02,病院休,年末年始休
2026-01-03,病院休,年末年始休
2026-01-12,法定祝日,成人の日
2026-02-11,法定祝日,建国記念の日
2026-02-23,法定祝日,天皇誕生日
2026-03-20,法定祝日,春分の日
2026-04-29,法定祝日,昭和の日
2026-05-03,法定祝日,憲法記念日
2026-05-04,法定祝日,みどりの日
2026-05-05,法定祝日,こどもの日
2026-05-06,法定祝日,振替休日
2026-07-20,法定祝日,海の日
2026-08-11,法定祝日,山の日
2026-09-21,法定祝日,敬老の日
2026-09-22,法定祝日,国民の休日
2026-09-23,法定祝日,秋分の日
2026-10-12,法定祝日,スポーツの日
2026-11-03,法定祝日,文化の日
2026-11-23,法定祝日,勤労感謝の日
2026-12-29,病院休,年末年始休
2026-12-30,病院休,年末年始休
2026-12-31,病院休,年末年始休
2027-01-01,法定祝日,元日
2027-01-02,病院休,年末年始休
2027-01-03,病院休,年末年始休
2027-01-11,法定祝日,成人の日
2027-02-11,法定祝日,建国記念の日
2027-02-23,法定祝日,天皇誕生日
2027-03-21,法定祝日,春分の日
2027-03-22,法定祝日,振替休日
