診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-04,73,0,73,0,0,2,0.0,0.0,0.0,2.74
がんゲノム,2025-04,17,0,17,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2025-04,141,1,140,1,1,5,0.71,100.0,0.71,3.55
ソーシャルワーカー,2025-04,125,0,125,0,0,18,0.0,0.0,0.0,14.4
メンタルケア科,2025-04,365,0,365,0,0,13,0.0,0.0,0.0,3.56
リウマチ膠原病内科,2025-04,953,29,924,27,28,27,3.04,93.1,2.94,2.83
一般消化器外科,2025-04,1213,67,1146,57,63,84,5.52,85.07,5.19,6.92
中央処置室,2025-04,167,0,167,0,0,6,0.0,0.0,0.0,3.59
乳腺外科,2025-04,1670,70,1600,65,66,69,4.19,92.86,3.95,4.13
健診センター,2025-04,92,0,92,0,0,14,0.0,0.0,0.0,15.22
入退院支援センター,2025-04,720,0,720,0,0,0,0.0,0.0,0.0,0.0
内科,2025-04,321,185,136,24,45,0,57.63,12.97,14.02,0.0
呼吸器内科,2025-04,1378,98,1280,88,89,51,7.11,89.8,6.46,3.7
呼吸器外科,2025-04,187,10,177,10,10,4,5.35,100.0,5.35,2.14
外来手術室,2025-04,490,0,490,0,0,46,0.0,0.0,0.0,9.39
小児科,2025-04,607,125,482,60,63,44,20.59,48.0,10.38,7.25
形成外科,2025-04,598,40,558,39,39,38,6.69,97.5,6.52,6.35
循環器内科,2025-04,1599,150,1449,133,146,61,9.38,88.67,9.13,3.81
心臓血管外科,2025-04,219,6,213,4,6,15,2.74,66.67,2.74,6.85
感染症,2025-04,29,0,29,0,0,5,0.0,0.0,0.0,17.24
放射線治療科,2025-04,1084,12,1072,11,11,30,1.11,91.67,1.01,2.77
放射線診断科,2025-04,2,0,2,0,0,0,0.0,0.0,0.0,0.0
救急科,2025-04,329,218,111,10,14,4,66.26,4.59,4.26,1.22
整形外科,2025-04,1866,225,1641,212,215,109,12.06,94.22,11.52,5.84
歯科口腔外科,2025-04,922,240,682,161,163,29,26.03,67.08,17.68,3.15
治験外来,2025-04,2,0,2,0,0,0,0.0,0.0,0.0,0.0
泌尿器科,2025-04,3756,137,3619,111,121,193,3.65,81.02,3.22,5.14
消化器内科,2025-04,1622,210,1412,191,198,72,12.95,90.95,12.21,4.44
産婦人科,2025-04,1944,148,1796,126,127,202,7.61,85.14,6.53,10.39
皮膚・排泄ケア,2025-04,129,0,129,0,0,109,0.0,0.0,0.0,84.5
皮膚科,2025-04,1351,117,1234,91,92,80,8.66,77.78,6.81,5.92
看護部,2025-04,110,0,110,0,0,9,0.0,0.0,0.0,8.18
眼科,2025-04,3503,241,3262,218,218,125,6.88,90.46,6.22,3.57
禁煙外来,2025-04,5,0,5,0,0,0,0.0,0.0,0.0,0.0
移行期医療支援外来,2025-04,1,0,1,0,0,0,0.0,0.0,0.0,0.0
総合内科,2025-04,1202,209,993,112,113,48,17.39,53.59,9.4,3.99
緩和ケアチーム,2025-04,23,0,23,0,0,16,0.0,0.0,0.0,69.57
耳鼻咽喉科,2025-04,1963,194,1769,162,163,76,9.88,83.51,8.3,3.87
脳神経内科,2025-04,530,62,468,61,62,19,11.7,98.39,11.7,3.58
脳神経外科,2025-04,250,33,217,24,27,7,13.2,72.73,10.8,2.8
腎内科,2025-04,798,27,771,26,28,29,3.38,96.3,3.51,3.63
臨床工学技師,2025-04,138,0,138,0,0,109,0.0,0.0,0.0,78.99
臨床腫瘍科,2025-04,140,1,139,1,1,2,0.71,100.0,0.71,1.43
薬剤部,2025-04,91,0,91,0,0,1,0.0,0.0,0.0,1.1
血液内科,2025-04,810,30,780,29,29,28,3.7,96.67,3.58,3.46
退院支援,2025-04,167,0,167,0,0,27,0.0,0.0,0.0,16.17
通院治療センター,2025-04,49,0,49,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-04,62,16,46,6,10,1,25.81,37.5,16.13,1.61
骨転移カンファレンス,2025-04,8,0,8,0,0,6,0.0,0.0,0.0,75.0
麻酔科,2025-04,396,0,396,0,0,1,0.0,0.0,0.0,0.25
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-04,78,2,76,2,2,3,2.56,100.0,2.56,3.85
