診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-09,再診,紹介状無し,49
がんゲノム,2025-09,再診,紹介状無し,15
アレルギー科,2025-09,再診,紹介状無し,175
アレルギー科,2025-09,初診,紹介状あり,2
ソーシャルワーカー,2025-09,再診,紹介状無し,128
メンタルケア科,2025-09,再診,紹介状無し,373
リウマチ膠原病内科,2025-09,再診,紹介状あり,1
リウマチ膠原病内科,2025-09,再診,紹介状無し,1017
リウマチ膠原病内科,2025-09,初診,紹介状あり,29
リウマチ膠原病内科,2025-09,初診,紹介状無し,1
一般消化器外科,2025-09,再診,紹介状あり,4
一般消化器外科,2025-09,再診,紹介状無し,1150
一般消化器外科,2025-09,初診,紹介状あり,56
一般消化器外科,2025-09,初診,紹介状無し,3
中央処置室,2025-09,再診,紹介状無し,164
乳腺外科,2025-09,再診,紹介状無し,1508
乳腺外科,2025-09,初診,紹介状あり,66
乳腺外科,2025-09,初診,紹介状無し,8
健診センター,2025-09,再診,紹介状無し,69
入退院支援センター,2025-09,再診,紹介状無し,651
内科,2025-09,再診,紹介状あり,15
内科,2025-09,再診,紹介状無し,129
内科,2025-09,初診,紹介状あり,21
内科,2025-09,初診,紹介状無し,202
呼吸器内科,2025-09,再診,紹介状あり,2
呼吸器内科,2025-09,再診,紹介状無し,1275
呼吸器内科,2025-09,初診,紹介状あり,70
呼吸器内科,2025-09,初診,紹介状無し,3
呼吸器外科,2025-09,再診,紹介状無し,200
呼吸器外科,2025-09,初診,紹介状あり,6
外来手術室,2025-09,再診,紹介状無し,463
小児科,2025-09,再診,紹介状あり,1
小児科,2025-09,再診,紹介状無し,430
小児科,2025-09,初診,紹介状あり,63
小児科,2025-09,初診,紹介状無し,63
形成外科,2025-09,再診,紹介状あり,2
形成外科,2025-09,再診,紹介状無し,550
形成外科,2025-09,初診,紹介状あり,35
形成外科,2025-09,初診,紹介状無し,10
循環器内科,2025-09,再診,紹介状あり,6
循環器内科,2025-09,再診,紹介状無し,1443
循環器内科,2025-09,初診,紹介状あり,102
循環器内科,2025-09,初診,紹介状無し,22
心臓血管外科,2025-09,再診,紹介状無し,181
心臓血管外科,2025-09,初診,紹介状あり,2
感染症,2025-09,再診,紹介状無し,24
放射線治療科,2025-09,再診,紹介状無し,898
放射線治療科,2025-09,初診,紹介状あり,7
放射線治療科,2025-09,初診,紹介状無し,1
放射線診断科,2025-09,再診,紹介状無し,1
救急科,2025-09,再診,紹介状あり,8
救急科,2025-09,再診,紹介状無し,111
救急科,2025-09,初診,紹介状あり,12
救急科,2025-09,初診,紹介状無し,222
整形外科,2025-09,再診,紹介状あり,3
整形外科,2025-09,再診,紹介状無し,1579
整形外科,2025-09,初診,紹介状あり,207
整形外科,2025-09,初診,紹介状無し,22
歯科口腔外科,2025-09,再診,紹介状無し,872
歯科口腔外科,2025-09,初診,紹介状あり,161
歯科口腔外科,2025-09,初診,紹介状無し,63
泌尿器科,2025-09,再診,紹介状あり,4
泌尿器科,2025-09,再診,紹介状無し,3573
泌尿器科,2025-09,初診,紹介状あり,98
泌尿器科,2025-09,初診,紹介状無し,24
消化器内科,2025-09,再診,紹介状あり,6
消化器内科,2025-09,再診,紹介状無し,1420
消化器内科,2025-09,初診,紹介状あり,151
消化器内科,2025-09,初診,紹介状無し,11
産婦人科,2025-09,再診,紹介状あり,1
産婦人科,2025-09,再診,紹介状無し,1799
産婦人科,2025-09,初診,紹介状あり,107
産婦人科,2025-09,初診,紹介状無し,17
皮膚・排泄ケア,2025-09,再診,紹介状無し,74
皮膚科,2025-09,再診,紹介状あり,1
皮膚科,2025-09,再診,紹介状無し,1108
皮膚科,2025-09,初診,紹介状あり,96
皮膚科,2025-09,初診,紹介状無し,29
看護部,2025-09,再診,紹介状無し,113
眼科,2025-09,再診,紹介状無し,3005
眼科,2025-09,初診,紹介状あり,175
眼科,2025-09,初診,紹介状無し,15
禁煙外来,2025-09,再診,紹介状無し,4
移行期医療支援外来,2025-09,再診,紹介状無し,1
総合内科,2025-09,再診,紹介状あり,1
総合内科,2025-09,再診,紹介状無し,1018
総合内科,2025-09,初診,紹介状あり,121
総合内科,2025-09,初診,紹介状無し,75
緩和ケアチーム,2025-09,再診,紹介状無し,34
緩和ケア内科,2025-09,再診,紹介状無し,1
耳鼻咽喉科,2025-09,再診,紹介状無し,1763
耳鼻咽喉科,2025-09,初診,紹介状あり,175
耳鼻咽喉科,2025-09,初診,紹介状無し,22
職員健康診断,2025-09,再診,紹介状無し,17
脳神経内科,2025-09,再診,紹介状無し,530
脳神経内科,2025-09,初診,紹介状あり,65
脳神経内科,2025-09,初診,紹介状無し,2
脳神経外科,2025-09,再診,紹介状あり,2
脳神経外科,2025-09,再診,紹介状無し,224
脳神経外科,2025-09,初診,紹介状あり,22
脳神経外科,2025-09,初診,紹介状無し,11
腎内科,2025-09,再診,紹介状あり,2
腎内科,2025-09,再診,紹介状無し,765
腎内科,2025-09,初診,紹介状あり,16
腎内科,2025-09,初診,紹介状無し,4
臨床工学技師,2025-09,再診,紹介状無し,245
臨床腫瘍科,2025-09,再診,紹介状無し,189
薬剤部,2025-09,再診,紹介状無し,153
血液内科,2025-09,再診,紹介状無し,820
血液内科,2025-09,初診,紹介状あり,23
退院支援,2025-09,再診,紹介状無し,153
通院治療センター,2025-09,再診,紹介状無し,34
遺伝診療科,2025-09,再診,紹介状あり,6
遺伝診療科,2025-09,再診,紹介状無し,47
遺伝診療科,2025-09,初診,紹介状あり,5
遺伝診療科,2025-09,初診,紹介状無し,12
骨転移カンファレンス,2025-09,再診,紹介状無し,5
麻酔科,2025-09,再診,紹介状無し,384
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-09,再診,紹介状無し,98
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-09,初診,紹介状あり,2
